	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S7	S70	S72	S8	S9
ASV_1	9	14825	16094	22459	2476	3146	4017	16588	9547	12579	62205	4	68668	83112	42721	52093	68613	9517	7779	9846	9320	12517	8	8237	90	0	9510	9106	7662	10438	29082	28290	19312	72	16491	21670	15699	9849	11175	14347	13721	15408	1022	0	71	697	43	46	37	19	19	20	712	533	617	187	867	815	956	0	0	1312	1	0	197	3	364	210	44	132	288
ASV_2	4	4	20	15	33937	42226	53737	88085	52521	69049	24	7	26	23	22	26	32	1054	856	1079	2458	3222	19	2340	0	0	4559	4391	3742	11	27	26	8583	10	7223	8942	12	8	12	47	47	51	16	0	5	7	216	243	235	1	5	6	3110	2091	2410	6	302	263	358	0	0	535	0	0	118	162	6	139	5976	8	7
ASV_3	2	6	8	10	12	12	18	18	11	10	6	3	10	10	49	51	86	9	10	9	14	16	7	13	75	0	21	27	23	16	36	31	9	7	11	10	1550	953	1033	131586	126507	129805	67	0	12	60	4	5	2	43	34	62	28	28	16	10	809	656	795	0	0	0	35	0	1	0	10	1	8	6	8
ASV_4	2	5	4	8	7	6	12	25	8	20	11869	3	12852	15303	3410	3689	5358	6	8	5	7	12	6	9	0	1	951	945	790	4	10	7	12	418	11	12	99	53	46	965	928	1159	2091	0	540	1365	1	2	4	6	4	9	70	40	42	882	72666	64965	82065	0	0	0	836	0	1	0	14898	0	7	5368	11223
ASV_5	148	256	213	378	302	314	422	523	310	399	1099	147	1235	1467	2660	2900	3875	424	384	372	1337	1773	139	1250	1	0	2073	1977	1721	449	1441	1513	649	362	513	751	4365	2813	3109	3469	3506	3601	107997	0	368	70793	18	21	18	61	63	72	61	36	50	719	13666	12505	14688	0	0	36	401	0	0	4	646	11	7	196	460
ASV_6	12433	6882	6911	10536	3337	4359	5206	6763	3712	4809	157	15214	198	198	1384	1718	2104	11020	9095	10539	4832	6539	11716	4622	0	0	2856	2531	2352	157	547	561	6813	4685	5265	7208	6807	4281	4731	1118	1034	1055	591	0	5349	360	60	60	61	113	83	144	17	9	23	9253	1353	1259	1467	0	0	535	0	0	126	65	5293	11	7	1531	3665
ASV_7	21	1113	1134	1960	8097	9534	12026	3715	2097	2709	94	38	97	130	1412	1607	1712	168	163	157	7681	10242	16	7281	1	0	2649	2613	2221	518	1627	1637	25689	3098	19652	27541	4585	3004	3243	1803	1787	1871	1821	0	3419	1101	48	63	57	26	31	63	37	37	51	5937	1377	1218	1490	0	0	1479	1	0	151	221	1511	330	4	472	981
ASV_8	3	4	2	2	15151	18088	23463	1943	1014	1405	6	2	6	9	9	4	18	22393	18683	22011	2081	3092	0	2310	0	0	9	5	3	3	9	8	3715	33	2853	4084	1795	1187	1266	110	85	105	9	0	42	3	1	5	3	32	24	52	2	0	2	89	8	6	4	0	0	342	0	0	0	0	8	134	4	2	7
ASV_9	1	3	0	2	1093	1223	1772	960	574	747	8	1	9	4	8246	9602	13322	717	513	689	273	396	0	278	0	0	575	543	570	2956	9174	8960	708	1450	618	744	4494	3079	3296	5511	5311	6240	702	0	1613	483	14	6	12	15	11	20	8	14	14	2666	111	116	109	0	0	36	0	0	76	0	4	0	1	1	1
ASV_10	8	2254	2235	2656	2	3	3	24	21	21	273	13	287	324	785	759	1112	3	3	2	170	258	7	168	0	1	344	452	314	1549	4246	4267	20	317	10	21	654	382	544	151	136	172	106	0	376	72	12158	14425	12629	49	45	84	13824	8799	10875	609	50	24	44	0	0	2	1	0	0	0	13	0	1	9	10
ASV_11	2	3	4	5	2	3	1	6	5	3	2293	2	2339	2653	1827	2115	2769	21	16	11	2	8	2	6	0	0	29145	27254	23812	1	4	4	3	3	4	5	22	17	12	180	176	181	5	0	7	4	3	0	1	0	1	3	3	2	3	3	1	4	6	0	0	0	0	0	0	0	6	236	4	1	8
ASV_12	18155	22	16	26	45	47	122	546	302	406	4	21230	7	7	33	12	68	455	277	382	3	2	14699	3	0	0	6	7	6	1	1	2	5	7173	4	7	45	25	48	3	4	3	7	0	8626	5	0	0	4	18	7	32	0	9	10	15277	8	11	4	0	0	0	0	0	0	0	43	0	1	17	38
ASV_13	3	26	21	32	4657	5794	7169	4522	2525	3479	6	2	5	5	2520	2842	3618	1292	983	1151	4156	5810	4	4078	0	0	329	273	293	2	8	7	5960	3	4512	6361	1495	906	1050	392	392	436	100	0	10	56	3	0	1	64	85	144	0	1	0	8	14	15	15	0	0	397	0	0	0	173	39	128	1	12	24
ASV_14	296	47	50	39	185	255	318	1489	750	1171	757	320	801	685	22	40	60	4106	3181	3907	7700	11430	337	9373	0	0	471	410	364	1346	3518	4151	2748	212	2573	2888	88	61	67	1708	1595	1563	9	0	224	3	155	179	210	218	189	304	912	759	762	319	331	242	385	0	1	199	28	0	159	169	2	0	4	0	5
ASV_15	31	11	6	6	3	1	2	404	246	295	95	24	75	111	121	98	202	128	98	143	1853	2510	20	1860	0	0	13	5	2	2	6	6	7	69	3	7	1747	1109	1143	39	36	30	591	0	103	388	3	3	3	14	4	9	1	1	3	138	79	71	76	0	0	0	11	0	0	0	23043	0	2	8944	18144
ASV_16	0	1	3	7	1	1	1	4487	2778	3947	328	0	290	373	2944	3027	4254	219	249	209	1	3	0	3	1	0	2267	1790	2078	88	270	269	458	4663	349	394	642	474	434	628	429	555	188	0	5273	134	3	0	0	0	0	0	35	31	38	7938	1493	1543	1746	0	0	19	0	0	0	0	101	0	0	22	101
ASV_17	1	6	1	12	10096	12157	18718	1	0	1	2	0	1	3	1	0	2	2	0	2	1	3	0	0	48	0	2	2	0	1	2	4	1	4	0	1	4	2	5	2	0	0	5	0	6	0	2	1	0	1	3	1	1	0	0	2	1	2	2	0	0	0	24	0	0	0	4	0	15156	1	1
ASV_18	0	0	0	4	401	437	642	5	3	0	1515	0	1656	1743	648	626	923	197	137	166	67	100	0	61	0	0	787	676	706	139	435	413	2	9661	1	2	645	416	454	17	25	22	24	0	11269	18	0	2	0	0	1	1	2	2	0	18909	178	141	155	0	0	2	0	0	0	0	7	124	3	3	4
ASV_19	5602	2	0	1	20	13	24	0	2	3	0	6608	1	1	0	1	1	1	0	1	1	1	6286	0	0	0	2	0	1	1	3	1	0	251	0	1	2	0	0	2	2	1	0	0	264	3	1	1	0	11	17	24	0	1	2	423	0	3	0	0	0	0	0	0	0	0	14865	0	1	4258	15017
ASV_20	22	5	14	13	183	170	281	630	330	441	3	16	0	0	24	27	47	5591	4310	5700	1603	2206	21	1389	0	0	30	28	26	0	2	1	21	2	14	31	13112	7403	8952	44	43	21	2	0	1	2	0	5	2	1	3	2	0	2	1	4	2	1	0	0	0	0	0	0	0	0	1	0	1	0	2
ASV_21	122	268	281	542	240	377	443	373	211	274	262	101	290	305	614	665	955	611	448	558	1081	1407	108	1047	0	0	2014	1816	1492	134	354	370	706	159	574	752	967	682	696	2872	2732	2816	327	0	182	181	8	11	9	4	6	10	49	29	49	290	1608	1510	1795	0	0	40	13	0	0	0	3392	0	0	1129	2599
ASV_22	1	1	4	0	373	365	485	4006	2001	2790	1	1	4	0	3	4	3	1193	932	1208	2092	3037	3	2033	0	0	16	24	23	3	3	0	5856	917	4604	6427	317	204	223	4	3	3	8	0	1044	5	0	2	0	13	9	23	6	3	3	1700	4	4	3	0	0	379	0	0	0	0	18	117	0	8	17
ASV_23	12	230	220	365	25	20	34	780	429	575	83	29	109	97	720	819	870	38	34	45	6851	9293	32	6365	0	0	1051	957	839	123	474	448	676	417	536	751	834	555	622	188	215	201	510	0	451	315	1	1	1	3	0	2	4	5	5	850	1085	930	1131	0	0	43	1	0	0	0	83	0	2	32	68
ASV_24	0	9	9	9	1	1	1	72	42	57	5169	1	5900	6536	2516	2908	3691	53	42	35	30	21	1	15	0	0	27	33	26	13	59	59	0	7	0	3	2	0	0	2	1	2	74	0	24	47	0	0	2	0	2	2	0	2	0	15	3530	2949	3873	0	0	0	0	0	0	0	1454	0	1	411	1029
ASV_25	273	5529	6168	8545	175	233	378	96	50	61	159	337	173	209	119	142	139	711	582	692	625	893	252	528	0	0	510	514	425	38	98	100	1019	399	853	1103	916	493	598	128	124	96	66	0	509	25	45	46	33	12	16	44	3	0	0	773	287	249	301	0	0	55	0	0	0	0	241	0	0	62	184
ASV_26	45	150	203	196	1	1	2	40	25	37	463	45	535	539	1257	1662	2101	2	0	1	83	130	28	70	0	1	753	897	655	212	686	672	10	315	25	34	1155	702	807	52	49	88	171	0	371	84	2494	2833	2693	1259	1036	2130	2514	1523	1931	682	85	71	91	0	0	0	0	0	0	0	22	0	1	2	9
ASV_27	0	0	0	0	107	158	156	618	391	530	1	11	3	4	1	2	4	93	82	86	737	1227	0	920	0	0	2	2	1	1	1	0	2323	0	1690	1957	2214	1676	1685	580	482	536	2859	0	0	1856	1	3	0	32	31	36	3	8	12	0	286	315	339	0	0	190	0	0	0	0	3549	219	2	1631	3157
ASV_28	7469	0	3	1	171	222	297	344	165	230	3	9164	1	3	33	41	73	83	69	73	360	579	6578	363	0	0	13	12	5	1	0	3	1569	0	1260	1635	523	298	384	118	109	94	6	0	0	13	0	0	0	3	2	4	1	1	0	2	0	0	0	0	0	120	0	0	0	0	0	0	1	1	1
ASV_29	0	1	1	2	118	142	168	514	331	509	0	0	1	0	0	1	4	101	84	108	772	1085	0	877	0	0	2	1	0	0	1	1	1785	0	1594	2070	2300	1534	1654	506	520	584	2808	0	1	1843	0	2	0	15	26	37	4	3	6	0	362	272	368	0	0	191	0	0	0	0	3947	0	1	1635	3344
ASV_30	195	74	72	151	1	3	0	28	10	19	361	235	340	441	41	54	76	52	60	51	362	513	222	394	0	0	519	451	434	24	89	59	249	966	189	243	322	203	181	421	342	438	58	0	914	34	0	1	0	6187	4617	9166	2	0	0	1744	27	29	49	0	0	7	0	0	0	0	49	0	1	7	50
ASV_31	0	19	28	31	1	0	0	902	482	707	1	1	1	4	13	6	13	51	33	32	1333	1785	0	1185	63	0	602	492	481	73	228	221	1860	1939	1356	1740	1556	1071	1179	1096	1107	1215	15	0	2209	16	0	2	0	4	0	1	1	0	0	3735	799	763	877	0	0	107	77	0	0	0	1	0	0	0	1
ASV_32	41	75	74	138	53	80	89	301	118	196	285	53	309	319	109	121	145	3773	2999	3401	1162	1439	19	959	0	0	105	93	82	35	122	118	1442	1272	1416	1935	780	398	511	113	105	142	79	0	1588	63	118	202	180	274	226	407	110	73	83	2696	52	65	56	0	0	71	25	0	0	0	48	0	3	8	17
ASV_33	0	668	594	1076	64	55	109	441	338	346	2197	0	2027	2796	1456	1818	2239	214	197	247	229	334	0	245	3	0	230	202	172	5689	764	658	326	5	300	447	368	310	223	359	353	363	20	0	4	21	0	0	1	0	0	1	24	11	19	10	13	17	22	0	0	50	0	0	11	0	21	13	1	0	10
ASV_34	10	123	153	234	2	1	1	16	5	9	369	1	421	556	1603	2020	3068	0	0	1	18	6	2	6	0	0	435	528	365	203	494	591	8	39	4	7	431	239	284	47	31	38	203	0	63	122	2341	2446	2582	85	70	172	3009	1909	2495	128	99	103	142	0	0	0	0	0	0	0	3	0	1	1	3
ASV_35	0	0	0	0	172	114	319	1	3	0	585	1	747	791	269	215	469	72	72	65	47	37	0	41	0	0	411	460	384	38	219	198	1	4673	1	1	361	209	227	4	12	11	17	0	5431	7	1	0	1	1	0	0	0	1	0	8975	52	69	95	0	0	0	0	0	0	0	2	0	0	0	1
ASV_36	174	542	618	888	42	41	70	165	90	103	17	185	40	39	284	361	373	175	136	189	274	377	176	272	0	0	2174	2005	1721	3	10	5	1648	358	1288	1832	2184	1354	1583	182	156	204	592	0	368	408	0	0	2	1	1	8	6	4	4	647	266	233	272	0	0	151	22	0	0	0	47	0	1	23	39
ASV_37	16	1600	1655	2499	860	684	1527	43	16	23	987	32	1046	1219	24	11	26	244	188	287	185	279	20	221	0	0	733	616	615	98	379	361	255	14	166	276	609	420	439	417	357	473	6	0	12	14	2	5	7	2	5	2	42	29	30	25	62	71	92	0	0	15	0	0	0	0	1156	0	2	500	1436
ASV_38	0	1	0	1	0	0	0	0	0	0	1	0	2	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	2	1	0	1	4	3	0	3	1	0	0	0	1	0	0	0	0	1	1	6869	5798	10654	0	1	2	0	3	1	1	0	0	0	0	0	0	0	1	0	1	0	0
ASV_39	22	1	1	1	5883	7159	9666	52	22	32	0	49	4	0	1	0	2	75	65	85	1	0	40	0	0	0	0	1	0	1	1	1	2	1	1	2	10	5	7	0	2	2	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_40	14	66	125	125	0	1	1	123	31	70	219	17	246	276	196	272	317	6	2	1	210	352	1	224	0	0	458	491	351	21	38	59	26	498	27	21	1338	751	903	18	10	29	81	0	471	82	535	660	546	872	694	1467	3516	2167	2836	829	18	9	39	0	0	2	0	0	0	0	14	0	1	0	5
ASV_41	0	0	1	0	0	1	1	1	0	0	0	0	1	1	5981	6968	9173	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ASV_42	22	42	55	101	0	3	1	256	119	154	130	21	109	120	856	1042	1336	75	43	49	635	952	6	694	121	0	36	39	25	84	265	272	478	88	425	535	2237	1469	1560	313	297	278	840	0	102	502	268	281	234	150	93	214	144	115	129	165	555	643	711	0	0	17	25	0	0	102	520	0	0	128	256
ASV_43	17	71	97	121	24	27	51	505	242	371	215	20	290	312	1021	798	1400	132	89	65	940	816	6	749	0	0	718	564	599	124	420	397	264	304	265	275	2071	1436	1244	70	52	77	188	0	315	197	159	222	152	37	34	56	713	539	463	566	88	118	109	0	0	17	0	0	0	0	52	0	0	11	33
ASV_44	0	0	1	0	0	4	3	0	0	0	0	0	0	1	3	1	0	7454	6188	7644	3	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	2
ASV_45	0	1	0	0	656	687	908	2	1	4	1168	0	1429	1646	2206	2260	3321	722	598	750	24	59	0	41	0	0	1219	1111	1044	66	118	135	77	0	69	90	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	5	0	0	0	0	129	0	2	29	114
ASV_46	3	235	324	365	3	1	2	216	52	107	665	4	718	718	3	18	10	1	2	5	10	13	9	9	0	0	21	45	41	25	90	126	5	237	1	0	23	8	13	236	229	220	4	0	325	2	26	18	19	2546	2193	3953	280	148	179	465	1620	1404	1887	0	0	0	7	0	0	0	25	0	1	3	19
ASV_47	0	0	1	0	0	0	1	0	1	2	0	1	0	0	2	3	2	3	2	0	0	3	1	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	2267	2575	1985	3534	3063	5154	107	68	60	0	40	54	50	0	0	0	0	0	0	0	0	0	0	0	1
ASV_48	0	0	0	1	0	1	1	0	0	1	1	0	1	0	2	0	0	0	0	0	1	1	2	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	2	1	1	0	0	2	3	1	0	0	5646	4884	8348	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ASV_49	159	5012	4259	7145	1	3	5	49	26	24	0	243	2	1	4	4	6	3	19	7	31	37	247	20	0	0	17	7	13	0	0	2	81	92	45	70	81	70	79	1	3	2	141	0	40	108	3	0	0	6	1	10	0	0	0	98	16	15	44	0	0	6	0	0	0	0	4	0	0	0	1
ASV_50	0	3	0	1	10	16	17	26	36	39	0	0	0	0	1	2	1	36	37	47	274	406	2	204	0	0	30	21	23	1	1	0	28	62	26	32	97	33	39	143	179	206	4	0	86	7	0	2	1	2	1	5	0	1	1	160	0	1	0	0	0	0	0	0	0	0	7824	0	1	3365	4493
ASV_51	13	0	0	0	417	477	684	496	273	328	5	13	1	5	292	393	571	958	793	935	1748	2450	3	1498	0	0	625	686	494	55	148	148	487	277	484	602	200	101	116	1	6	1	10	0	285	1	1	1	1	5	9	15	0	2	0	603	28	27	35	0	0	39	0	0	0	0	49	0	1	16	33
ASV_52	0	0	0	0	70	85	98	76	32	62	13	1	16	9	0	0	0	132	70	133	2753	3645	0	2692	0	0	32	28	45	0	0	1	264	124	241	269	64	46	39	1889	1750	1857	4	0	119	4	0	0	0	7	10	19	20	14	22	211	36	39	45	0	0	13	0	0	0	0	156	0	1	41	140
ASV_53	0	0	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	2983	4134	0	3310	0	0	0	1	1	0	1	1	229	1	226	163	1749	1114	1103	0	3	5	0	0	1	0	0	0	0	15	21	41	397	271	342	0	0	1	1	0	0	17	0	0	0	0	1	0	1	0	2
ASV_54	0	0	0	1	55	67	90	58	40	32	596	2	650	714	1876	2112	2683	467	392	478	22	25	1	18	0	0	577	546	498	166	456	546	99	54	64	70	749	507	544	154	91	169	34	0	63	14	0	0	0	0	0	1	0	0	0	76	0	1	3	0	0	3	0	0	0	0	11	0	0	0	9
ASV_55	0	21	25	36	0	0	2	68	38	50	418	0	482	511	736	670	903	5	2	2	553	833	0	569	0	0	673	656	581	450	1367	1260	111	92	93	119	1087	722	820	414	509	518	20	0	92	19	18	19	20	1	0	3	4	1	1	193	14	6	12	0	0	8	0	0	0	0	1	0	1	0	1
ASV_56	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	3	0	0	2	0	1	0	0	0	0	903	931	800	654	1843	1944	0	0	0	0	3331	2006	2257	4	2	1	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14670	0	0
ASV_58	17	217	284	359	16	13	25	2	0	7	0	76	2	1	0	8	5	3	7	1	0	4	30	1	0	0	20	15	18	2	2	3	3676	4	3304	4818	363	217	221	47	46	68	0	0	7	1	27	28	21	6	10	22	4	4	6	33	53	68	80	0	0	173	0	0	0	0	7	0	1	0	5
ASV_59	12	31	53	51	31	35	65	19	12	22	82	35	75	55	23	31	66	197	185	209	150	257	17	125	0	0	68	40	51	7	7	8	28	11	27	15	323	224	267	86	91	103	127	0	4	77	2	0	0	2	4	11	0	0	0	9	1362	1285	1430	0	0	0	61	0	0	0	3247	0	0	1045	2482
ASV_60	1	23	21	15	705	925	1145	1	0	1	32	1	34	44	153	164	173	2	0	1	0	2	0	0	0	0	78	54	54	2	6	10	0	0	0	0	42	25	16	2698	2679	2730	27	0	0	16	1	0	0	4	2	5	0	0	0	0	125	82	94	0	0	0	0	0	0	0	1031	0	0	288	721
ASV_61	0	0	0	2	0	0	2	0	0	1	22	0	53	28	63	52	41	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	3	2	3	57	0	0	55	0	0	0	0	0	0	2	0	0	0	4248	4079	4892	0	0	0	192	0	0	0	0	0	1	0	0
ASV_62	6	0	0	0	31	26	53	144	115	126	139	13	205	224	441	490	619	220	195	208	796	1112	8	872	0	0	2	0	0	37	42	45	137	0	129	180	476	320	369	740	677	653	693	0	1	407	1	0	1	7	6	6	9	0	8	0	77	56	88	0	0	6	0	0	1	0	1103	0	1	471	895
ASV_63	14	38	79	74	1	1	2	27	11	18	285	7	275	344	236	218	393	10	10	16	154	239	7	126	0	0	1119	1193	880	15	56	51	276	7	281	399	1937	1047	1237	410	367	400	114	0	17	68	26	19	23	159	164	317	87	59	74	26	27	44	29	0	0	14	0	0	0	0	9	0	0	4	1
ASV_64	29	116	140	152	24	17	34	129	76	86	79	6	90	65	310	350	407	59	61	75	620	892	6	549	0	0	51	48	52	189	403	466	663	252	401	560	717	393	458	52	62	84	500	0	231	283	300	347	324	8	3	12	175	92	105	402	385	353	493	0	0	48	59	0	0	0	13	0	0	8	10
ASV_65	0	0	14	37	3	0	0	0	0	0	1	1	0	5	5	4	8	0	0	0	0	0	0	1	0	0	19	3	10	0	2	3	2	0	0	2	104	71	78	2	10	5	0	0	0	0	3809	4465	3955	166	161	296	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
ASV_66	0	2	0	4	2	0	2	32	13	12	17	0	10	17	9	22	11	5	0	1	70	106	0	61	0	0	752	691	641	14	65	54	21	24	35	29	340	259	250	129	115	140	7	0	23	2	4	6	3	2201	1842	3278	602	419	513	41	5	7	12	0	0	1	0	0	0	0	4	0	0	2	4
ASV_67	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1676	5455	5688	0	0	0	0	1	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ASV_68	0	60	70	105	3	2	0	118	52	86	919	16	900	1090	820	1074	1374	29	16	23	354	531	5	303	20	0	274	352	241	148	372	329	33	80	37	48	495	258	320	127	156	152	187	0	80	150	7	23	15	55	60	85	8	9	22	146	108	138	130	0	0	4	26	0	131	0	21	0	0	0	13
ASV_69	101	2535	3108	4580	12	24	27	0	0	0	7	127	8	19	1	0	2	26	25	39	0	0	75	1	0	0	0	0	0	30	74	82	405	2	330	507	9	6	4	3	5	2	226	0	5	133	7	1	0	0	0	0	1	0	0	0	2	0	2	0	0	29	0	0	0	0	1	0	0	0	0
ASV_70	370	450	435	556	6	5	7	0	0	0	192	533	252	267	317	392	587	16	19	40	7	8	353	4	0	0	693	681	558	128	313	370	25	26	18	26	1913	1049	1386	49	45	62	2	0	27	0	4	8	5	1	0	1	0	0	0	65	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2
ASV_71	0	320	317	408	10	14	13	145	78	78	1	0	1	8	287	273	433	41	36	33	891	1305	0	977	0	0	29	21	33	5	9	7	0	287	1	1	1516	1052	963	23	46	46	56	0	285	46	0	1	0	1	0	2	0	0	3	493	191	143	212	0	0	0	0	0	147	0	438	0	0	108	386
ASV_72	149	13	19	49	403	476	649	1101	606	814	2	164	2	1	137	220	218	718	540	664	769	912	94	738	0	0	8	8	8	1	5	8	374	186	277	325	159	124	142	8	3	11	2	0	238	11	1	0	0	2	2	8	6	9	4	421	2	3	7	0	0	21	0	0	0	0	78	0	1	26	58
ASV_73	601	946	1194	1351	64	79	122	74	46	64	38	706	43	38	50	48	69	717	552	652	116	144	468	94	0	0	27	22	22	14	46	57	47	272	42	64	313	149	217	76	91	87	70	0	381	23	6	0	9	1	0	0	1	1	2	620	239	233	288	0	0	0	0	0	0	0	40	0	1	10	20
ASV_74	0	0	0	0	1339	1473	1960	292	161	251	0	0	1	0	1	1	0	1777	1371	1587	33	41	0	19	0	0	0	0	1	0	2	0	0	0	0	1	460	290	260	69	78	100	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_75	0	0	0	1	1925	2370	3679	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	3535	0	0
ASV_76	6	179	131	271	110	140	208	191	94	178	4	16	8	12	71	82	99	941	725	839	89	148	11	86	0	0	183	147	139	11	15	32	601	476	505	645	332	201	238	149	149	199	14	0	555	15	0	0	0	1	2	4	0	1	3	1038	207	210	247	0	0	44	0	0	0	0	234	0	0	59	146
ASV_77	26	3176	3547	4568	0	0	0	0	0	0	4	40	0	1	0	0	0	1	0	0	1	0	15	0	0	0	0	1	0	0	1	0	1	0	3	1	0	0	0	1	0	1	2	0	0	3	5	1	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_78	0	3	6	6	1	2	3	107	55	89	236	0	224	237	422	383	609	53	57	42	164	198	0	164	0	0	414	395	357	32	104	79	21	78	19	21	340	207	265	392	356	379	177	0	53	108	0	0	0	0	0	0	0	2	4	122	532	513	576	0	0	5	0	0	0	0	1358	0	1	384	961
ASV_79	0	0	0	0	132	141	152	2031	1083	1479	0	1	0	1	1	0	0	419	364	381	26	33	0	15	0	0	452	397	410	37	114	112	191	163	191	246	495	353	318	141	139	159	2	0	188	0	0	0	0	1	0	0	0	0	3	325	36	34	36	0	0	25	0	0	0	0	0	0	0	3	5
ASV_80	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	1866	1552	1402	1	1	1	0	0	0	0	1223	869	968	1	0	2	257	0	0	129	0	1	0	0	0	0	0	0	0	0	216	164	236	0	0	0	0	0	0	0	866	0	0	202	851
ASV_81	53	19	23	23	2	2	1	59	26	37	247	58	258	365	103	131	109	45	43	50	1189	1658	94	991	0	0	61	74	54	108	341	321	25	217	17	37	243	171	226	222	229	265	30	0	268	14	52	50	64	317	277	486	42	14	39	422	102	96	137	0	0	1	0	0	67	0	70	0	0	5	26
ASV_82	24	4	12	10	58	46	128	201	87	141	0	11	0	0	2	2	10	174	122	158	19	32	5	15	0	0	3	6	0	0	1	1	2554	121	2473	3395	5	13	11	0	1	4	0	0	161	0	23	23	42	0	2	0	1	0	0	284	18	15	23	0	0	170	0	0	154	0	1	0	0	0	0
ASV_83	0	0	0	0	7	14	12	41	23	35	361	0	430	474	847	997	1281	17	15	16	22	19	0	26	0	0	70	51	34	22	52	77	11	31	5	4	73	84	64	98	90	116	31	0	49	26	0	0	0	0	0	0	3	0	0	47	629	629	656	0	0	0	0	0	0	0	1439	0	2	448	1126
ASV_84	8	13	13	23	3	10	15	62	24	42	129	0	120	138	406	511	636	34	40	19	166	219	4	127	0	0	180	162	163	118	372	498	108	123	66	98	726	451	470	877	840	910	83	0	175	45	111	118	108	36	50	56	67	60	47	292	116	124	132	0	0	11	0	0	0	0	13	0	0	5	8
ASV_85	0	28	32	51	4	11	2	3	8	0	32	0	41	60	527	310	572	2	1	5	42	36	0	17	0	0	188	119	137	39	84	87	40	31	41	66	2028	1522	1361	635	690	812	25	0	55	22	3	12	6	1	0	0	20	24	16	84	50	55	59	0	0	1	0	0	0	0	61	0	0	13	63
ASV_86	0	0	0	1	859	749	1219	2147	1804	1983	0	0	2	0	0	0	0	23	27	20	53	85	1	63	0	0	98	126	80	0	0	0	139	0	139	181	0	0	0	1	1	2	0	0	0	0	4	12	8	1	0	0	79	68	63	0	2	5	4	0	0	30	0	0	1	13	0	8	67	0	0
ASV_87	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3157	0	2951	3753	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	1	0	0	0	1	0	1
ASV_88	0	32	36	66	0	0	0	1	1	2	668	0	732	721	795	968	1395	0	0	0	1	0	2	0	0	0	451	527	408	125	311	262	0	11	0	1	671	345	519	140	104	137	38	0	20	30	15	18	10	0	2	0	8	13	20	37	74	64	45	0	0	0	0	0	120	0	12	0	0	7	5
